"MedCodeID","Term","QOFClusterID","QOFClusterDesc","QOFSnomedCTConceptId","SnomedCTDescriptionId","QOFUnmatchedCodeDescription"
,,"CAN_COD","Codes for relevant malignancies","94434002",,"Secondary malignant neoplasm of myometrium"
,,"CAN_COD","Codes for relevant malignancies","94426008",,"Secondary malignant neoplasm of muscle of pelvis"
,,"CAN_COD","Codes for relevant malignancies","94198007",,"Secondary malignant neoplasm of blood vessel of inguinal region"
,,"CAN_COD","Codes for relevant malignancies","94200001",,"Secondary malignant neoplasm of blood vessel of lower limb"
,,"CAN_COD","Codes for relevant malignancies","94441008",,"Secondary malignant neoplasm of neck"
,,"CAN_COD","Codes for relevant malignancies","94440009",,"Secondary malignant neoplasm of scaphoid bone"
,,"CAN_COD","Codes for relevant malignancies","94439007",,"Secondary malignant neoplasm of navicular bone of foot"
,,"CAN_COD","Codes for relevant malignancies","94437009",,"Secondary malignant neoplasm of nasal concha"
,,"CAN_COD","Codes for relevant malignancies","94196006",,"Secondary malignant neoplasm of blood vessel of head"
,,"CAN_COD","Codes for relevant malignancies","94435001",,"Secondary malignant neoplasm of nasal bone"
,,"CAN_COD","Codes for relevant malignancies","94443006",,"Secondary malignant neoplasm of nipple of female breast"
,,"CAN_COD","Codes for relevant malignancies","94433008",,"Secondary malignant neoplasm of myocardium"
,,"CAN_COD","Codes for relevant malignancies","94432003",,"Secondary malignant neoplasm of muscle"
,,"CAN_COD","Codes for relevant malignancies","94431005",,"Secondary malignant neoplasm of muscle of upper limb"
,,"CAN_COD","Codes for relevant malignancies","94430006",,"Secondary malignant neoplasm of muscle of trunk"
,,"CAN_COD","Codes for relevant malignancies","94429001",,"Secondary malignant neoplasm of muscle of thorax"
,,"CAN_COD","Codes for relevant malignancies","94428009",,"Secondary malignant neoplasm of muscle of shoulder"
,,"CAN_COD","Codes for relevant malignancies","94221001",,"Secondary malignant neoplasm of bone of upper limb"
,,"CAN_COD","Codes for relevant malignancies","94436000",,"Secondary malignant neoplasm of nasal cavity"
,,"CAN_COD","Codes for relevant malignancies","94192008",,"Secondary malignant neoplasm of blood vessel of finger"
,,"CAN_COD","Codes for relevant malignancies","94514000",,"Secondary malignant neoplasm of renal pelvis"
,,"CAN_COD","Codes for relevant malignancies","94189009",,"Secondary malignant neoplasm of blood vessel of axilla"
,,"CAN_COD","Codes for relevant malignancies","94190000",,"Secondary malignant neoplasm of blood vessel of buttock"
,,"CAN_COD","Codes for relevant malignancies","94454001",,"Secondary malignant neoplasm of oropharynx"
,,"CAN_COD","Codes for relevant malignancies","94453007",,"Secondary malignant neoplasm of orbit proper"
,,"CAN_COD","Codes for relevant malignancies","94452002",,"Secondary malignant neoplasm of optic nerve"
,,"CAN_COD","Codes for relevant malignancies","94451009",,"Secondary malignant neoplasm of olfactory nerve"
,,"CAN_COD","Codes for relevant malignancies","94197002",,"Secondary malignant neoplasm of blood vessel of hip"
,,"CAN_COD","Codes for relevant malignancies","94191001",,"Secondary malignant neoplasm of blood vessel of face"
,,"CAN_COD","Codes for relevant malignancies","94425007",,"Secondary malignant neoplasm of muscle of neck"
,,"CAN_COD","Codes for relevant malignancies","94448002",,"Secondary malignant neoplasm of occipital lobe"
,,"CAN_COD","Codes for relevant malignancies","94447007",,"Secondary malignant neoplasm of occipital bone"
,,"CAN_COD","Codes for relevant malignancies","94193003",,"Secondary malignant neoplasm of blood vessel of foot"
,,"CAN_COD","Codes for relevant malignancies","94194009",,"Secondary malignant neoplasm of blood vessel of forearm"
,,"CAN_COD","Codes for relevant malignancies","94195005",,"Secondary malignant neoplasm of blood vessel of hand"
