medcodeid,term,qofclusterid,qofclusterdesc,qofsnomedctconceptid,snomedctdescriptionid
105519017,Chronic bronchitis,COPD_COD,Chronic obstructive pulmonary disease (COPD) codes,63480004,105519017
113497011,Centrilobular emphysema,COPD_COD,Chronic obstructive pulmonary disease (COPD) codes,68328006,113497011
11828571000006115,Bronchiolitis fibrosa obliterans,COPD_COD,Chronic obstructive pulmonary disease (COPD) codes,40100001,3636165018
1222334016,Other specified chronic obstructive pulmonary disease,COPD_COD,Chronic obstructive pulmonary disease (COPD) codes,13645005,475431013
1222335015,Chronic obstructive pulmonary disease NOS,COPD_COD,Chronic obstructive pulmonary disease (COPD) codes,13645005,475431013
1230190015,MacLeod's unilateral emphysema,COPD_COD,Chronic obstructive pulmonary disease (COPD) codes,45145000,1230190015
123588010,Mucopurulent chronic bronchitis,COPD_COD,Chronic obstructive pulmonary disease (COPD) codes,74417001,123588010
12704691000006117,Interstitial emphysema,COPD_COD,Chronic obstructive pulmonary disease (COPD) codes,77690003,770361000006117
139979010,Fetid chronic bronchitis,COPD_COD,Chronic obstructive pulmonary disease (COPD) codes,84409004,506053014
161781000006116,Sawyer - Jones syndrome,COPD_COD,Chronic obstructive pulmonary disease (COPD) codes,45145000,75284014
183191000006115,Recurrent wheezy bronchitis,COPD_COD,Chronic obstructive pulmonary disease (COPD) codes,195949008,301450011
19421011,Interstitial emphysema,COPD_COD,Chronic obstructive pulmonary disease (COPD) codes,77690003,503646013
1948051000006112,Asthma-chronic obstructive pulmonary disease overlap syndrom,COPD_COD,Chronic obstructive pulmonary disease (COPD) codes,10692761000119107,3046456013
216596014,End stage chronic obstructive airways disease,COPD_COD,Chronic obstructive pulmonary disease (COPD) codes,135836000,216596014
2240631000000119,Eosinophilic bronchitis,COPD_COD,Chronic obstructive pulmonary disease (COPD) codes,866901000000103,2240631000000119
2578881000006118,Panacinar emphysema,COPD_COD,Chronic obstructive pulmonary disease (COPD) codes,4981000,9336013
2578901000006116,Vesicular emphysema,COPD_COD,Chronic obstructive pulmonary disease (COPD) codes,4981000,9338014
2578911000006118,Alveolar emphysema of lung,COPD_COD,Chronic obstructive pulmonary disease (COPD) codes,4981000,9339018
