medcodeid,term,qofclusterid,qofclusterdesc,qofsnomedctconceptid,snomedctdescriptionid
10928019,Diabetes mellitus associated with genetic syndrome,DM_COD,Diabetes mellitus codes,5969009,10928019
11927561000006118,Hypoglycemic coma co-occurrent and due to diabetes mellitus type II,DM_COD,Diabetes mellitus codes,719216001,3315456014
121589010,Diabetes mellitus,DM_COD,Diabetes mellitus codes,73211009,121589010
12166101000006119,Retinopathy co-occurrent and due to diabetes mellitus,DM_COD,Diabetes mellitus codes,4855003,3688791016
12166111000006116,Retinopathy due to diabetes mellitus,DM_COD,Diabetes mellitus codes,4855003,3688792011
12185421000006113,Polyneuropathy due to diabetes mellitus,DM_COD,Diabetes mellitus codes,49455004,3695673019
12185431000006111,Polyneuropathy co-occurrent and due to diabetes mellitus,DM_COD,Diabetes mellitus codes,49455004,3695674013
12218501000006114,Disorder of kidney co-occurrent and due to diabetes mellitus,DM_COD,Diabetes mellitus codes,127013003,3688487013
12218511000006112,Kidney disorder due to diabetes mellitus,DM_COD,Diabetes mellitus codes,127013003,12218511000006112
12221151000006118,Mononeuropathy co-occurrent and due to diabetes mellitus,DM_COD,Diabetes mellitus codes,230577008,3697662013
1223147012,Insulin treated Type II diabetes mellitus,DM_COD,Diabetes mellitus codes,237599002,1223147012
1223148019,Insulin treated non-insulin dependent diabetes mellitus,DM_COD,Diabetes mellitus codes,237599002,1223148019
1230929011,Secondary pancreatic diabetes mellitus,DM_COD,Diabetes mellitus codes,51002006,1230929011
12331051000006112,Mononeuropathy with type 2 diabetes mellitus,DM_COD,Diabetes mellitus codes,420436000,12331051000006112
12331061000006114,Mononeuropathy co-occurrent and due to type 2 diabetes mellitus,DM_COD,Diabetes mellitus codes,420436000,3697666011
12331221000006112,Exudative maculopathy with type 1 diabetes mellitus,DM_COD,Diabetes mellitus codes,420486006,12331221000006112
12331231000006110,Exudative maculopathy co-occurrent and due to type 1 diabetes mellitus,DM_COD,Diabetes mellitus codes,420486006,3698520014
