medcodeid,term,qofclusterid,qofclusterdesc,qofsnomedctconceptid,snomedctdescriptionid
103531000006110,Tonic-clonic epilepsy,EPIL_COD,Epilepsy diagnosis codes,352818000,472410017
10791000006116,Other specified generalised nonconvulsive epilepsy,EPIL_COD,Epilepsy diagnosis codes,192979009,297263012
1173961000000112,[D]Nocturnal seizure,EPIL_COD,Epilepsy diagnosis codes,230445007,3491799017
11926151000006111,Infantile spasms,EPIL_COD,Epilepsy diagnosis codes,28055006,46969011
125721000006111,"Status epilepticus, unspecified",EPIL_COD,Epilepsy diagnosis codes,230456007,345339019
12602012,Petit mal status,EPIL_COD,Epilepsy diagnosis codes,7033004,501555012
148427014,Gelastic epilepsy,EPIL_COD,Epilepsy diagnosis codes,89525009,148427014
148591000006114,Sensory induced epilepsy,EPIL_COD,Epilepsy diagnosis codes,79745005,1234392012
178739011,Epilepsy,EPIL_COD,Epilepsy diagnosis codes,84757009,178739011
2159274014,Complex partial epileptic seizure,EPIL_COD,Epilepsy diagnosis codes,407675009,2159274014
223781000000116,Unverricht - Lundborg disease,EPIL_COD,Epilepsy diagnosis codes,230423006,345289013
223811000000118,Grand mal (major) epilepsy,EPIL_COD,Epilepsy diagnosis codes,19598007,479713017
230321000006117,Petit mal (minor) epilepsy,EPIL_COD,Epilepsy diagnosis codes,509341000000107,1132511000000113
23819016,Grand mal status,EPIL_COD,Epilepsy diagnosis codes,13973009,23819016
23820010,Status epilepticus,EPIL_COD,Epilepsy diagnosis codes,230456007,345339019
245341000006117,Partial epilepsy without impairment of consciousness,EPIL_COD,Epilepsy diagnosis codes,230381009,345224018
245351000006115,Partial epilepsy without impairment of consciousness NOS,EPIL_COD,Epilepsy diagnosis codes,230381009,345227013
245361000006118,Partial epilepsy without impairment of consciousness OS,EPIL_COD,Epilepsy diagnosis codes,230381009,345227013
2474650018,Stress-induced epilepsy,EPIL_COD,Epilepsy diagnosis codes,413101007,2474650018
2478828012,Traumatic epilepsy,EPIL_COD,Epilepsy diagnosis codes,75023009,2478828012
2502351000006114,Epilepsia partialis continua,EPIL_COD,Epilepsy diagnosis codes,241006,1497017
2502371000006116,Motor simple partial status,EPIL_COD,Epilepsy diagnosis codes,241006,1223213018
2502381000006118,Kojewnikov's epilepsy,EPIL_COD,Epilepsy diagnosis codes,241006,3008503017
