medcodeid,term,qofclusterid,qofclusterdesc,qofsnomedctconceptid,snomedctdescriptionid
118689010,Cerebral thrombosis,STRK_COD,Stroke diagnosis codes,71444005,118689010
11878511000006113,Cerebrovascular accident due to occlusion of cerebral artery,STRK_COD,Stroke diagnosis codes,230691006,3636108019
11903571000006110,Stroke due to intracerebral haemorrhage,STRK_COD,Stroke diagnosis codes,274100004,11903571000006110
11919571000006110,[X]Other intracerebral haemorrhage,STRK_COD,Stroke diagnosis codes,274100004,11919571000006110
1212072018,Occlusive stroke,STRK_COD,Stroke diagnosis codes,373606000,1212072018
12223101000006118,Intracerebral haemorrhage,STRK_COD,Stroke diagnosis codes,274100004,3673215016
12223111000006115,Intracerebral hemorrhage,STRK_COD,Stroke diagnosis codes,274100004,3673216015
12223121000006111,ICH - intracerebral haemorrhage,STRK_COD,Stroke diagnosis codes,274100004,3673217012
12223131000006114,ICH - intracerebral hemorrhage,STRK_COD,Stroke diagnosis codes,274100004,3673218019
1222398015,Cerebral arterial occlusion,STRK_COD,Stroke diagnosis codes,20059004,1222398015
122361000006113,Stroke due to cerebral arterial occlusion,STRK_COD,Stroke diagnosis codes,230691006,345638019
122371000006118,Stroke due to intracerebral haemorrhage,STRK_COD,Stroke diagnosis codes,274100004,409860011
122401000006115,Stroke unspecified,STRK_COD,Stroke diagnosis codes,230690007,345637012
1235534016,Binswanger's encephalopathy,STRK_COD,Stroke diagnosis codes,90099008,1235534016
125470015,Cerebral embolism,STRK_COD,Stroke diagnosis codes,75543006,125470015
12722481000006116,"Right sided intracerebral haemorrhage, unspecified",STRK_COD,Stroke diagnosis codes,308128006,451441015
12762021000006116,Cerebral hemorrhage,STRK_COD,Stroke diagnosis codes,274100004,605471000006112
13031191000006112,Cerebral hemorrhage,STRK_COD,Stroke diagnosis codes,274100004,122371000006118
130375018,Lateral medullary syndrome,STRK_COD,Stroke diagnosis codes,78569004,130375018
149347010,Binswanger's disease,STRK_COD,Stroke diagnosis codes,90099008,149347010
158118014,Cerebellar infarction,STRK_COD,Stroke diagnosis codes,95460007,158118014
218511000000117,Infarction - cerebral,STRK_COD,Stroke diagnosis codes,432504007,2770034014
2474651019,Infarction of basal ganglia,STRK_COD,Stroke diagnosis codes,413102000,2474651019
2622631000006114,Intrapontine haemorrhage,STRK_COD,Stroke diagnosis codes,7713009,503468012
