medcodeid,term,qofclusterid,qofclusterdesc,qofsnomedctconceptid,snomedctdescriptionid
106392017,Basilar artery syndrome,TIA_COD,Transient ischaemic attack (TIA) codes,64009001,106392017
106394016,Vertebrobasilar insufficiency,TIA_COD,Transient ischaemic attack (TIA) codes,64009001,106394016
11920121000006117,Transient cerebral ischemia,TIA_COD,Transient ischaemic attack (TIA) codes,266257000,395785017
1667741000000110,[V]Personal history of transient ischaemic attack,TIA_COD,Transient ischaemic attack (TIA) codes,751371000000107,1667741000000110
2476647018,Vertebral artery compression syndrome,TIA_COD,Transient ischaemic attack (TIA) codes,34781003,2476647018
25897016,Subclavian steal syndrome,TIA_COD,Transient ischaemic attack (TIA) codes,15258001,25897016
300344014,Carotid artery syndrome hemispheric,TIA_COD,Transient ischaemic attack (TIA) codes,195200006,300344014
300345010,Multiple and bilateral precerebral artery syndromes,TIA_COD,Transient ischaemic attack (TIA) codes,195201005,300345010
300348012,Other transient cerebral ischaemia,TIA_COD,Transient ischaemic attack (TIA) codes,266257000,395788015
300349016,Transient cerebral ischaemia NOS,TIA_COD,Transient ischaemic attack (TIA) codes,266257000,395788015
300352012,Impending cerebral ischaemia,TIA_COD,Transient ischaemic attack (TIA) codes,195205001,300352012
300353019,Intermittent cerebral ischaemia,TIA_COD,Transient ischaemic attack (TIA) codes,195206000,300353019
345684012,Carotid territory transient ischaemic attack,TIA_COD,Transient ischaemic attack (TIA) codes,230716006,345684012
3540781000006117,Vertebrobasilar arterial insufficiency,TIA_COD,Transient ischaemic attack (TIA) codes,64009001,106393010
395783012,Transient ischaemic attack,TIA_COD,Transient ischaemic attack (TIA) codes,266257000,395783012
395788015,Transient cerebral ischaemia,TIA_COD,Transient ischaemic attack (TIA) codes,266257000,395788015
416991000006112,[X]Other transnt cerebral ischaemic attacks+related syndroms,TIA_COD,Transient ischaemic attack (TIA) codes,266257000,395788015
4778071000006118,Carotid artery syndrome,TIA_COD,Transient ischaemic attack (TIA) codes,195200006,2966553018
4778101000006111,Impending cerebral ischemia,TIA_COD,Transient ischaemic attack (TIA) codes,195205001,300351017
4778121000006118,Intermittent cerebral ischemia,TIA_COD,Transient ischaemic attack (TIA) codes,195206000,300354013
499739014,Insufficiency - basilar artery,TIA_COD,Transient ischaemic attack (TIA) codes,64009001,499739014
5011491000006115,Anterior circulation transient ischaemic attack,TIA_COD,Transient ischaemic attack (TIA) codes,230716006,345683018
5011501000006111,Anterior circulation transient ischemic attack,TIA_COD,Transient ischaemic attack (TIA) codes,230716006,345685013
5011511000006114,Carotid territory transient ischemic attack,TIA_COD,Transient ischaemic attack (TIA) codes,230716006,345686014
5492171000006112,TIA,TIA_COD,Transient ischaemic attack (TIA) codes,266257000,395781014
5492181000006110,Temporary cerebral vascular dysfunction,TIA_COD,Transient ischaemic attack (TIA) codes,266257000,395782019
5492201000006111,TIA - Transient ischaemic attack,TIA_COD,Transient ischaemic attack (TIA) codes,266257000,395784018
5492221000006118,Transient ischemic attack,TIA_COD,Transient ischaemic attack (TIA) codes,266257000,395787013
58046010,Vertebral artery syndrome,TIA_COD,Transient ischaemic attack (TIA) codes,34781003,58046010
67501000006115,Vertebro-basilar artery syndrome,TIA_COD,Transient ischaemic attack (TIA) codes,195199008,300343015
67511000006117,Vertebro-basilar insufficiency,TIA_COD,Transient ischaemic attack (TIA) codes,64009001,106394016
8231151000006110,Personal history of transient ischaemic attack,TIA_COD,Transient ischaemic attack (TIA) codes,751371000000107,1653121000000119
95931000006111,Transient cerebral ischaemia NOS,TIA_COD,Transient ischaemic attack (TIA) codes,266257000,395788015
988951000006117,Transient Ischaemic Attacks,TIA_COD,Transient ischaemic attack (TIA) codes,266257000,988951000006117
