medcodeid,observations,originalreadcode,cleansedreadcode,term,snomedctconceptid,snomedctdescriptionid
19943011,10000,F240,F240.00,Quadriplegia,11538006,19943011
19944017,10000,F240-1,F240.11,Tetraplegia,11538006,19944017
66483014,8000,F141,F141.00,Hereditary spastic paraplegia,39912006,66483014
69671016,700,F244,F244.00,Monoplegia of upper limb,41764006,69671016
72531016,4000,F231,F231.00,Infantile hemiplegia,1593000,3769017
84272011,30000,F22,F22..00,Hemiplegia,50582007,84272011
89919017,300,F242,F242.00,Diplegia of upper limbs,54099005,89919017
100323011,50000,F241,F241.00,Paraplegia,60389000,100323011
132112014,4000,F221,F221.00,Spastic hemiplegia,79633009,132112014
133450019,800,F243,F243.00,Monoplegia of lower limb,80420005,133450019
134251013,100,F220,F220.00,Flaccid hemiplegia,80935004,134251013
254829017,4000,2833,2833.00,O/E - hemiplegia,163601006,254829017
254830010,500,2834,2834.00,O/E - monoplegia,163602004,254830010
254833012,1000,2835,2835.00,O/E - paraplegia,163604003,254833012
254834018,2000,2836,2836.00,O/E - quadriplegia,163605002,254834018
254835017,3000,2837,2837.00,O/E - diplegia,163606001,254835017
297210016,4000,F22z,F22z.00,Hemiplegia NOS,50582007,84272011
297221013,200,F2300,F230000,Congenital paraplegia,192949002,297221013
297223011,600,F230z,F230z00,Congenital diplegia NOS,58193001,96715019
297232013,2000,F234,F234.00,Infantile hemiplegia NOS,1593000,3769017
297241015,90,F2400,F240000,Flaccid tetraplegia,192964002,297241015
297242010,5000,F2401,F240100,Spastic tetraplegia,192965001,297242010
297243017,600,F2410,F241000,Flaccid paraplegia,192966000,297243017
297244011,10000,F2411,F241100,Spastic paraplegia,192967009,297244011
297246013,300,F245,F245.00,Monoplegia unspecified,86022000,142620013
411455012,2000,F232,F232.00,Congenital quadriplegia,275468009,411455012
411456013,3000,F230,F230.00,Congenital diplegia,58193001,96717010
415146010,20000,F223,F223.00,Right hemiplegia,278284007,415146010
415147018,20000,F222,F222.00,Left hemiplegia,278285008,415147018
494103012,300,F038,F038.00,Tropical spastic paraplegia,714279000,3299127017
497600015,200,F233,F233.00,Congenital monoplegia,56409008,497600015
110721000006114,50,F232-1,F232.11,Tetraplegia - congenital,275468009,411455012
223801000000115,20,F230-1,F230.11,Paraplegia - congenital,192949002,297221013
543071000006115,10000,F2301,F230100,Cerebral palsy with spastic diplegia,230773005,345773014
716831000006114,20,N2310-1,N231011,Massive muscular calcification associated with paraplegia,82725007,3036461013
856091000006114,20,EGTONRI2, ,Right hemiplegia,856091000006105,856091000006114
