medcodeid,term,cleansedreadcode,snomedctconceptid,status,intensity
11928671000006111,Alcohol units per week,,228958009,,4
1221271018,Alcohol consumption,136..00,160573003,,4
144179014,Heavy drinker,136P.00,86933000,2,3
1738341000000110,Increasing risk drinking,136a.00,777631000000108,2,2
1738381000000119,Higher risk drinking,136c.00,777651000000101,2,3
1738421000000111,Lower risk drinking,136d.00,777671000000105,2,1
1806211000006115,Unsuccessful attempts to reduce alcohol consumption,,1806211000006104,2,
217461000000118,Non - drinker,136M.00,105542008,0,
223671000000110,Hangover from alcohol,E250.12,32553006,2,
2502061000006114,Current drinker,,219006,2,
2502071000006119,Alcohol user,,219006,2,
2502081000006116,Drinks alcohol,,219006,2,
2502091000006118,Current drinker of alcohol,,219006,2,
250312016,Light drinker - 1-2u/day,1363.00,160575005,2,1
250313014,Moderate drinker - 3-6u/day,1364.00,160576006,2,2
250314015,Heavy drinker - 7-9u/day,1365.00,160577002,2,3
250316018,Very heavy drinker - >9u/day,1366.00,160578007,2,3
250317010,Stopped drinking alcohol,1367.00,160579004,1,
250321015,Ex-trivial drinker (<1u/day),136A.00,160582009,1,
250322010,Ex-light drinker - (1-2u/day),136B.00,160583004,1,
250323017,Ex-moderate drinker - (3-6u/d),136C.00,160584005,1,
250324011,Ex-heavy drinker - (7-9u/day),136D.00,160585006,1,
250329018,Ex-very heavy drinker-(>9u/d),136E.00,160587003,1,
250331010,Spirit drinker,136F.00,160588008,2,
250332015,Beer drinker,136G.00,160589000,2,
250333013,Drinks beer and spirits,136H.00,160590009,2,
250334019,Drinks wine,136I.00,160591008,2,
250335018,Alcohol intake above recommended sensible limits,136K.00,160592001,2,2
250340014,Alcohol intake within recommended sensible limits,136L.00,160593006,2,1
2740831000000114,Harmful use of alcohol,,1094151000000108,2,3
2911291000006114,Acute alcohol intoxication,,25702006,2,
2911301000006110,Drunk,,25702006,2,
291352018,Non-drinker alcohol,1361.12,105542008,0,
291355016,Teetotaller,1361.00,105542008,0,
295251015,"Nondependent alcohol abuse, unspecified",E250000,268645007,2,
295252010,"Nondependent alcohol abuse, continuous",E250100,191882002,2,
295253017,"Nondependent alcohol abuse, episodic",E250200,191883007,2,
295255012,Nondependent alcohol abuse NOS,E250z00,268645007,2,
299061000000117,Hazardous alcohol use,136S.00,198421000000108,2,2
299081000000114,Harmful alcohol use,136T.00,198431000000105,2,3
3024491000006118,Hangover,,32553006,2,
342320016,Light drinker,136N.00,228277002,2,1
342322012,Very heavy drinker,136Q.00,228279004,2,3
342361016,Drinks in morning to get rid of hangover,136Y.00,228310006,2,
342366014,Binge drinker,136R.00,228315001,2,3
342421016,Feels should cut down drinking,136b.00,228362008,2,
346930019,Inebriety NOS,E250.13,25702006,2,
346931015,Drunkenness,E250.11,25702006,2,
362251000006117,Alcohol intoxication,Eu10011,25702006,2,
3843491000006118,Ex-drinker,,82581004,1,
397729013,Trivial drinker - <1u/day,1362.00,266917007,2,1
397881000006114,Alcohol abuse,Eu10100,15167005,2,
401797010,Nondependent alcohol abuse,E250.00,268645007,2,
4120351000006119,Does not drink alcohol,,105542008,0,
4120371000006112,Non - drinker alcohol,,105542008,0,
4120381000006110,Current non-drinker of alcohol,,105542008,0,
4120391000006113,Non-drinker for personal reasons,,105543003,0,
4120401000006110,Non-drinker for religious reasons,,105544009,0,
4120411000006113,Non-drinker for medical reasons,,105545005,0,
4533191000006110,Alcoholic drink intake,,160573003,,4
4533231000006117,Very heavy drinker - greater than 9 units/day,,160578007,2,3
4533271000006119,Ex-trivial drinker - less than 1 unit/day,,160582009,1,
4533331000006113,Ex-very heavy drinker - greater than 9 units/day,,160587003,1,
4533361000006116,Drinker of hard liquor,,160588008,2,
4533441000006111,XS - Excessive alcohol consumption,,160592001,2,3
4533451000006113,Excessive alcohol consumption,,160592001,2,3
4533461000006110,Excessive alcohol use,,160592001,2,3
4559361000006118,On examination - breath - alcohol smell,,163184002,2,
47085011,Social drinker,136J.00,28127009,2,
476411000006118,Alcohol consumption NOS,136Z.00,160573003,,4
4977911000006115,Lifetime non-drinker,,228274009,0,
4977921000006111,Lifetime abstainer from drink,,228274009,0,
4977931000006114,Lifetime teetotaller,,228274009,0,
4977991000006113,Fairly heavy drinker,,228278007,2,3
4978011000006117,Secret drinker,,228280001,2,
4978021000006113,Hidden drinker,,228280001,2,
4978031000006111,Problem drinker,,228281002,2,
4978061000006119,Dependent drinker,,228281002,2,
4978131000006112,Home drinker,,228285006,2,
4978161000006115,Park drinker,,228288008,2,
4978171000006110,Street drinker,,228289000,2,
4978261000006110,Isolated drinker,,228297007,2,
4978271000006115,Lone drinker,,228297007,2,
4978411000006113,Drinks alcohol evenly through week,,228312003,2,
4978421000006117,Drinks alcohol unevenly through week,,228313008,2,
4978431000006119,Weekend drinker,,228314002,2,
4978451000006114,Bout drinker,,228315001,2,
4978461000006111,Episodic drinker,,228315001,2,
4978491000006115,Daily drinker,,228319007,2,
4978501000006111,Drinks alcohol daily,,228319007,2,
4978511000006114,Habitual drinker,,228320001,2,
4987151000006111,alcohol units/day,,228957004,,4
4987161000006113,alcohol units/week,,228958009,,4
556651000000116,Alcohol units consumed per week,136V.00,1082641000000106,,4
5720641000006112,Ex-problem drinker,,286857004,1,
587231000006111,Non drinker alcohol,1361.11,105542008,0,
5886961000006112,Abstinent alcoholic,,300939009,1,
6006211000006116,Drinking alcohol,,311492009,2,
606991000000117,Alcohol misuse,136W.00,15167005,2,
629811000006113,Occasional drinker,1362.12,228276006,2,1
629821000006117,Drinks rarely,1362.11,266917007,2,1
73012011,Moderate drinker,136O.00,43783005,2,2
7334601000006116,Drinks alcoholic cider,,447087000,2,
7334611000006118,Cider drinker,,447087000,2,
7334621000006114,Drinks cider,,447087000,2,
769451000006111,Intoxication - alcohol,E250.14,25702006,2,
7967731000006110,Decreased alcohol consumption,,1161000175101,2,
8103541000006113,Feels alcohol consumption is not a problem,,323231000000100,2,
8106921000006119,Feels it is not necessary to reduce alcohol consumption,,334631000000103,2,
8229891000006112,Drinks real ale,,748381000000102,2,
8458781000006110,Alcohol units consumed per day,,1082631000000102,,4
8458811000006112,Alcohol units consumed per week,,1082641000000106,,4
855071000006115,Grade A none drinker or rare,,855071000006104,0,
882531000006110,Non-dependent abuse of alcohol,E250.99,268645007,2,
970431000006112,Misuse of Beer or Cider,,970431000006108,2,
