icd10,icd10term,site,osteosite
M48.4,Fatigue fracture of vertebra,Spine,
M48.5,Collapsed vertebra not elsewhere classified,Spine,Vertebra
M80.0,Postmenopausal osteoporosis with pathological fracture,Unspecified,Any OP site
M80.2,Osteoporosis of disuse with pathological fracture,Unspecified,Any OP site
M80.4,Drug-induced osteoporosis with pathological fracture,Unspecified,Any OP site
M80.5,Idiopathic osteoporosis with pathological fracture,Unspecified,Any OP site
M80.8,Other osteoporosis with pathological fracture,Unspecified,Any OP site
M80.9,Unspecified osteoporosis with pathological fracture,Unspecified,Any OP site
M84.0,Malunion of fracture,Outcome,
M84.1,Nonunion of fracture (pseudoarthrosis),Outcome,
M84.2,Delayed union of fracture,Outcome,
M84.3,Stress fracture not elsewhere classified,Unspecified,
M84.4,Pathological fracture not elsewhere classified,Unspecified,
S02,Fracture of skull and facial bones,Fracture of skull and facial bones,
S02.0,Fracture of vault of skull,Fracture of skull and facial bones,
S02.1,Fracture of base of skull,Fracture of skull and facial bones,
S02.2,Fracture of nasal bones,Fracture of skull and facial bones,
S02.3,Fracture of orbital floor,Fracture of skull and facial bones,
S02.4,Fracture of malar and maxillary bone,Fracture of skull and facial bones,
S02.6,Fracture of mandible,Fracture of skull and facial bones,
S02.7,Multiple fractures involving skull and facial bones,Fracture of skull and facial bones,
S02.8,Fractures of other skull and facial bones,Fracture of skull and facial bones,
S02.9,"Fracture of skull and facial bones, part unspecified",Fracture of skull and facial bones,
S12,Fracture of neck,Fracture of neck,
S12.0,Fracture of first cervical vertebra,Fracture of neck,
S12.1,Fracture of second cervical vertebra,Fracture of neck,
S12.2,Fracture of other specified cervical vertebra,Fracture of neck,
S12.7,Multiple fractures of cervical spine,Fracture of neck,
S12.9,"Fracture of neck, part unspecified",Fracture of neck,
S22,"Fracture of rib(s), sternum and thoracic spine","Fracture of rib(s), sternum and thoracic spine",
S22.0,Fracture of thoracic vertebra,"Fracture of rib(s), sternum and thoracic spine",Vertebra
S22.1,Multiple fractures of thoracic spine,"Fracture of rib(s), sternum and thoracic spine",
S22.2,Fracture of sternum,"Fracture of rib(s), sternum and thoracic spine",
S22.3,Fracture of rib,"Fracture of rib(s), sternum and thoracic spine",
S22.4,Multiple fractures of ribs,"Fracture of rib(s), sternum and thoracic spine",
S22.5,Flail chest,"Fracture of rib(s), sternum and thoracic spine",
S22.8,Fracture of other parts of bony thorax,"Fracture of rib(s), sternum and thoracic spine",
S22.9,"Fracture of bony thorax, part unspecified","Fracture of rib(s), sternum and thoracic spine",
S32,Fracture of lumbar spine and pelvis,Fracture of lumbar spine and pelvis,
S32.0,Fracture of lumbar vertebra,Fracture of lumbar spine and pelvis,Vertebra
S32.1,Fracture of sacrum,Fracture of lumbar spine and pelvis,
S32.2,Fracture of coccyx,Fracture of lumbar spine and pelvis,
S32.3,Fracture of ilium,Fracture of lumbar spine and pelvis,
S32.4,Fracture of acetabulum,Fracture of lumbar spine and pelvis,
S32.5,Fracture of pubis,Fracture of lumbar spine and pelvis,
S32.7,Multiple fractures of lumbar spine and pelvis,Fracture of lumbar spine and pelvis,
S32.8,Fracture of other unspecified parts of lumbar spine and pelvis,Fracture of lumbar spine and pelvis,
S42,Fracture of shoulder and upper arm,Fracture of shoulder and upper arm,
S42.0,Fracture of clavicle,Fracture of shoulder and upper arm,
S42.1,Fracture of scapula,Fracture of shoulder and upper arm,
S42.2,Fracture of upper end of humerus,Fracture of shoulder and upper arm,Shoulder
S42.3,Fracture of shaft of humerus,Fracture of shoulder and upper arm,
S42.4,Fracture of lower end of humerus,Fracture of shoulder and upper arm,
S42.7,"Multiple fractures of clavicle, scapula and humerus",Fracture of shoulder and upper arm,
S42.8,Fracture of other parts of shoulder and upper arm,Fracture of shoulder and upper arm,
S42.9,"Fracture of shoulder girdle, part unspecified",Fracture of shoulder and upper arm,Shoulder
S52,Fracture of forearm,Fracture of forearm,
S52.0,Fracture of upper end of ulna,Fracture of forearm,
S52.1,Fracture of upper end of radius,Fracture of forearm,
