medcodeid,term,icd10_mapping,majorosteofrac_site
40871000006119,Osteoporosis with pathological fracture of cervical vertebrae,M48.4,1
311305016,Fatigue fracture of vertebra,M48.4,
40881000006116,Osteoporosis with pathological fracture of lumbar vertebrae,M48.4,1
451463012,Pathological fracture of cervical vertebra,M48.4,
6048941000006119,Wedge fracture of vertebra,M48.4,
312156018,Postoophorectomy osteoporosis with pathological fracture,M80.0,5
312165013,Postmenopausal osteoporosis with pathological fracture,M80.0,5
312157010,Osteoporosis of disuse with pathological fracture,M80.2,5
312159013,Drug-induced osteoporosis with pathological fracture,M80.4,5
312160015,Idiopathic osteoporosis with pathological fracture,M80.5,5
556881000000111,Minimal trauma fracture due to unspecified osteoporosis,M80.5,5
129911000006119,Sponanteous fracture,M80.5,5
212441000006112,Post-surgical malabsorption osteoporosis with pathological fracture,M80.8,5
312681016,[X]Other osteoporosis with pathological fracture,M80.8,5
387551000006116,[X]Fracture of bone in neoplastic diseases CE,M80.8 ,
545121000000114,Fragility fracture,M80.9,5
312178013,Pathological fracture NOS,M80.9,5
216206018,Pathological fracture due to osteoporosis,M80.9,5
557111000000111,Minimal trauma fracture,M80.9,5
2860841000006117,Pathologic fracture,M80.9,
400338014,Pathological fracture,M80.9,5
3253881000006112,Osteoporotic fracture,M80.9,
312689019,[X]Unspecified osteoporosis with pathological fracture,M80.9,5
5722071000006111,Pathological fracture - pelvis and/or thigh,M84.4,
892481000006111,Path.fracture - multiple,M84.4,
312161016,Fracture of bone in neoplastic disease,M84.4,
892421000006112,Path.fracture - lower leg,M84.4,
312177015,Other specified pathological fracture,M84.4,5
892401000006119,Path.fracture - NOS,M84.4,
216227011,Pathological fracture due to metastatic bone disease,M84.4,
892411000006116,Path.fracture - ankle/foot,M84.4,
892441000006117,Path.fracture - hand,M84.4,
892431000006110,Path.fracture - pelvis/thigh,M84.4,
5722101000006118,Pathological fracture - ankle and/or foot,M84.4,
52931000006111,"Open fracture of vault of skull with intracranial injury, with more than 24 hours loss of consciousness and return to pre-existing conscious level",S02.0,
560371000006115,"Closed #skull vlt no intracranial injury, <1hr loss of consc",S02.0,
80749019,Fracture of vault of skull,S02.0,
276092017,Repair of fracture of cranium NEC,S02.0,
560401000006117,"Closed #skull vlt no intracranial injury, no loss of consc",S02.0,
560361000006110,Closed #skull vlt no intracranial injury + concussion unspec,S02.0,
3198471000006110,Depressed fracture,S02.0,
318117015,Closed fracture vault of skull with intracranial injury,S02.0,
263821000006111,"Open #skull vlt no intracranial injury, <1hr loss of consc",S02.0,
560331000006118,"Closed #skull vlt + intracranial injury, unspec state consc",S02.0,
268071000006113,Occipital fracture,S02.0,
1233283015,Elevation of depressed fracture of cranium,S02.0,
4395971000006118,Fracture of occipital condyle,S02.0,
263791000006119,"Open #skull vlt + intracranial injury, unspec state of consc",S02.0,
263861000006117,"Open #skull vlt no intracranial injury, no loss of consc",S02.0,
318135012,Open fracture vault of skull with intracranial injury,S02.0,
318126017,Open fracture vault of skull without intracranial injury,S02.0,
560391000006119,"Closed #skull vlt no intracranial injury, 1-24hr loss consc",S02.0,
560321000006116,"Closed fracture of vault of skull with intracranial injury, with no loss of consciousness",S02.0,
560341000006111,"Closed #skull vlt no intracranial inj, LOC unspec duration",S02.0,
560311000006112,"Closed #skull vlt + intracranial injury, LOC unspec duration",S02.0,
560381000006117,"Closed #skull vlt no intracranial injury, >24hr LOC+recovery",S02.0,
560421000006110,Closed #skull vlt with intracranial injury+concussion unspec,S02.0,
263771000006115,"Open #skull vlt + intracranial injury, LOC unspec duration",S02.0,
565191000006110,Closed fracture of vault of skull without intracranial injury,S02.0,
2526111000006115,Fracture of occipital bone,S02.0,
560281000006110,"Closed fracture of vault of skull with intracranial injury, with less than 1 hour loss of consciousness",S02.0,
5034151000006113,Transverse fracture of temporal bone,S02.0,
264431000006110,"Open fracture of vault of skull with intracranial injury, with less than 1 hour loss of consciousness",S02.0,
263871000006112,"Open #skull vlt no intracranial injury, unspec state consc",S02.0,
3648051000006118,Elevation of skull fracture fragments,S02.0,
244171000006112,Fracture of parietal bone,S02.0,
895151000006117,#Parietal bone,S02.0,
263881000006110,Open #skull vlt with intracranial injury + concussion unspec,S02.0,
318144013,Fracture of vault of skull NOS,S02.0,
263781000006117,"Open fracture of vault of skull with intracranial injury, with no loss of consciousness",S02.0,
108621000006117,Fracture of temporal bone,S02.0,
560301000006114,"Closed fracture of vault of skull with intracranial injury, with 1-24 hours loss of consciousness",S02.0,
3648061000006116,Elevation of skull fracture,S02.0,
560411000006119,"Closed #skull vlt no intracranial injury, unspec state consc",S02.0,
560291000006113,"Closed fracture of vault of skull with intracranial injury, with more than 24 hours loss of consciousness and return to pre-existing conscious level",S02.0,
559951000006113,"Closed fracture of base of skull with intracranial injury, with more than 24 hours loss of consciousness without return to pre-existing conscious level",S02.1,
264201000006115,Open #skull bse no intracranial injury + concussion unspec,S02.1,
318196011,Fracture of base of skull,S02.1,
560061000006113,"Closed #skull bse no intracranial injury, <1hr loss of consc",S02.1,
560001000006112,"Closed fracture of base of skull with intracranial injury, with 1-24 hours loss of consciousness",S02.1,
561661000006110,Closed fracture of base of skull without intracranial injury,S02.1,
559961000006110,"Closed #skull bse + intracranial inj, unspec state of consc",S02.1,
559991000006119,"Closed fracture of base of skull with intracranial injury, with more than 24 hours loss of consciousness and return to pre-existing conscious level",S02.1,
560041000006114,"Closed #skull bse no intracranial inj,>24hr LOC not restored",S02.1,
264211000006117,"Open #skull bse no intracranial injury, <1hr loss of consc",S02.1,
264241000006118,"Open #skull bse no intracranial injury, LOC unspec duration",S02.1,
40395011,Skull base fracture,S02.1,
560101000006111,"Closed #skull bse no intracranial injury, unspec state consc",S02.1,
560051000006111,Closed #skull bse no intracranial injury + concussion unspec,S02.1,
264251000006116,"Open #skull bse no intracranial injury, no loss of consc",S02.1,
560021000006119,"Closed fracture of base of skull with intracranial injury, with no loss of consciousness",S02.1,
560091000006117,"Closed #skull bse no intracranial injury, no loss of consc",S02.1,
41971000006117,Fracture of orbital roof,S02.1,
264131000006117,"Open fracture of base of skull with intracranial injury, with more than 24 hours loss of consciousness and return to pre-existing conscious level",S02.1,
134471000006115,Fracture of sphenoid bone,S02.1,
264451000006115,Open #skull bse + intracranial injury + concussion unspec,S02.1,
264141000006110,"Open fracture of base of skull with intracranial injury, with 1-24 hours loss of consciousness",S02.1,
560081000006115,"Closed #skull bse no intracranial injury, 1-24hr loss consc",S02.1,
560011000006110,"Closed #skull bse + intracranial injury, LOC unspec duration",S02.1,
702621000006114,Fracture of middle fossa,S02.1,
259611000006111,Open fracture base skull without mention intracranial injury,S02.1,
218101000006119,Posterior fossa fracture,S02.1,
560031000006116,"Closed #skull bse no intracranial inj, LOC unspec duration",S02.1,
561651000006113,Closed fracture of base of skull with intracranial injury,S02.1,
559981000006117,"Closed fracture of base of skull with intracranial injury, with less than 1 hour loss of consciousness",S02.1,
486231000006119,Fracture of anterior fossa,S02.1,
559971000006115,Closed #skull bse + intracranial injury + concussion unspec,S02.1,
264151000006112,"Open #skull bse + intracranial injury, LOC unspec duration",S02.1,
259601000006113,Open fracture of base of skull with intracranial injury,S02.1,
895171000006110,#Base of skull,S02.1,
5461651000006119,Fracture of nose,S02.2,
5035471000006110,Fractured nasal septum,S02.2,
875711000006112,Closed reduction- # nasal bone,S02.2,
5570271000006118,MUA - Manipulation under anesthetic of fractured nasal bones,S02.2,
391312019,Fracture of nasal bones,S02.2,
5461621000006111,Fractured nasal bones,S02.2,
3827621000006114,Closed fracture of nasal bones,S02.2,
276102014,Reduction of fracture of nasoethmoid complex of bones,S02.2,
3581831000006114,Open reduction of fracture of zygoma or zygomatic arch,S02.2,
1229659018,Open fracture nasal bone,S02.2,
1234611012,Closed fracture nasal bone,S02.2,
874741000006110,#Nasal bone - open reduction,S02.2,
5570261000006113,MUA - Manipulation under anaesthetic of fractured nasal bones,S02.2,
276103016,Reduction of fractured nasal bone,S02.2,
3153681000006110,Open fracture of nasal bones,S02.2,
1234612017,Closed fracture nose,S02.2,
895191000006111,#Nasal bones,S02.2,
567361000006114,Closed reduction of nasal fracture,S02.2,
1229658014,Open fracture nose,S02.2,
5461641000006116,Fractured nose,S02.2,
276106012,Reduction of closed fracture of orbit bone,S02.3,
3298311000006114,Closed blow-out fracture orbit,S02.3,
3298291000006110,Closed fracture of orbital floor (blow-out),S02.3,
5461571000006113,Blow out fracture of orbit,S02.3,
40139014,Open reduction of fracture of orbit,S02.3,
318250013,"Fracture of orbit NOS, open",S02.3,
895231000006118,#Orbital floor (blow-out),S02.3,
318238019,Fracture of orbital floor,S02.3,
2675982016,Internal fixation of fracture of orbit,S02.3,
4063281000006111,Orbital fracture,S02.3,
266618015,Packing of maxilla to correct blow-out fracture of orbit,S02.3,
874961000006112,Open reduction - orbital #,S02.3,
183641000006117,Reduction of blowout fracture of orbital floor,S02.3,
1228153010,Open orbital blow-out fracture,S02.3,
4839681000006118,Orbital floor fracture,S02.3,
266614018,Open reduction of fracture of orbit and internal fixation,S02.3,
266612019,Removal of fixation from fracture of orbit,S02.3,
4683491000006119,Reduction of blow-out fracture of orbital floor,S02.3,
2553591000006111,Open fracture of orbital floor (blow-out),S02.3,
4063271000006113,Fracture of orbit,S02.3,
318246018,Closed fracture of orbit,S02.3,
1230706011,Closed orbital blow-out fracture,S02.3,
5461461000006119,Fracture of maxillary tuberosity,S02.4,
895221000006116,#Zygoma,S02.4,
402827014,"Fracture of malar or maxillary bones, open",S02.4,
2536004017,Closed fracture maxilla,S02.4,
5461601000006118,Fracture of lateral wall of orbit,S02.4,
4839641000006112,Open fracture of maxilla,S02.4,
276177016,Other specified reduction of fracture of maxilla,S02.4,
5388641000006115,Gillies reduction of zygomatic fracture,S02.4,
749211000006115,Le Fort II fracture maxilla,S02.4,
3224601000006115,LF2 - Le Fort II fracture of maxilla,S02.4,
5966501000006111,Open reduction maxillary fracture,S02.4,
874761000006114,Closed reduction - zygomatic #,S02.4,
318239010,Fracture of malar and maxillary bones,S02.4,
5461511000006116,Fracture of zygoma,S02.4,
276165014,Open reduction of fracture of maxilla NEC,S02.4,
749221000006111,LFIII - Le Fort III fracture of maxilla,S02.4,
318249013,"Fracture of alveolus, open",S02.4,
276164013,Reduction of fracture of alveolus of maxilla,S02.4,
276163019,Reduction of fracture of maxilla,S02.4,
5728651000006111,Closed reduction - zygomatic fracture,S02.4,
5461531000006110,Fracture of zygomatic process,S02.4,
792811000006115,"Fracture of inferior maxilla, closed",S02.4,
276166010,Closed reduction of fracture of maxilla NEC,S02.4,
792961000006113,Closed fracture of malar AND/OR maxillary bones,S02.4,
276178014,Reduction of fracture of maxilla NOS,S02.4,
749201000006118,LFI - Le Fort I fracture of maxilla,S02.4,
276174011,Reduction of Le Fort 3 fracture of maxilla,S02.4,
874951000006110,Closed reduction - maxillary #,S02.4,
391281018,"Fracture of upper jaw, closed",S02.4,
276173017,Reduction of Le Fort 2 fracture of maxilla,S02.4,
3096451000006111,"Le Fort's fracture, type III",S02.4,
874751000006112,Open reduction - zygomatic #,S02.4,
5461501000006119,Fracture of zygomatic complex,S02.4,
5461541000006117,Zygomatic arch fracture,S02.4,
318229016,"Fracture of malar or maxillary bones, closed, NOS",S02.4,
276168011,Reduction of Le Fort 1 fracture of maxilla,S02.4,
3535561000006114,LF1 - Le Fort I fracture of maxilla,S02.4,
318235016,"Fracture of malar or maxillary bones, open, NOS",S02.4,
3224571000006110,"Le Fort's fracture, type II",S02.4,
895211000006112,#Maxilla,S02.4,
874941000006113,Open reduction - maxillary #,S02.4,
5388691000006112,Open repair of zygomatic fracture,S02.4,
3096501000006113,LF3 - Le Fort III fracture of maxilla,S02.4,
793761000006117,"Fracture of upper jaw, open",S02.4,
4683301000006117,Reduction of fracture of malar bone,S02.4,
318233011,Open fracture maxilla,S02.4,
2575341000006112,Closed fracture of zygoma,S02.4,
5461401000006115,Fracture of maxilla,S02.4,
3535511000006111,"Le Fort's fracture, type I",S02.4,
5461471000006114,Fracture of maxillary alveolar socket wall,S02.4 ,
318200018,"Closed fracture of mandible, condylar process",S02.6,
394569015,Reduction of fracture of mandible,S02.6,
411080018,Reduction of fracture of jaw NEC,S02.6,
907011000006117,[RFC] Jaw fracture,S02.6,
318197019,"Fracture of mandible, closed",S02.6,
318216016,"Open fracture of mandible, ramus, unspecified",S02.6,
318213012,"Open fracture of mandible, condylar process",S02.6,
276160016,Closed reduction of mandibular fracture,S02.6,
318224014,Open fracture of mandible,S02.6,
5461721000006115,Fracture of mandibular alveolar socket wall,S02.6,
874911000006114,Open reduction -mandibular #,S02.6,
875011000006114,Traction for # jaw,S02.6,
