prodcodeid,dmdcode,termfromemis,productname,drugsubstancename,substancestrength,formulation,routeofadministration,bnfcode,release
5077141000033117,15457711000001104,Valdoxan 25mg tablets (Servier Laboratories Ltd),Valdoxan 25mg tablets,Agomelatine,25.000mg,Tablet,Oral,4030400,4030400
5077041000033116,15499111000001100,Agomelatine 25mg tablets,Agomelatine 25mg tablets,Agomelatine,25.000mg,Tablet,Oral,4030400,4030400
60441000033116,321745007,Amitriptyline 10mg tablets,Amitriptyline 10mg tablets,Amitriptyline hydrochloride,10.000mg,Tablet,Oral,7040200,7040200
60641000033119,321746008,Amitriptyline 25mg tablets,Amitriptyline 25mg tablets,Amitriptyline hydrochloride,25.000mg,Tablet,Oral,7040200,7040200
60541000033115,321747004,Amitriptyline 50mg tablets,Amitriptyline 50mg tablets,Amitriptyline hydrochloride,50.000mg,Tablet,Oral,7040200,7040200
3180441000033118,321929002,Amitriptyline 25mg / Perphenazine 2mg tablets,Amitriptyline 25mg / Perphenazine 2mg tablets,Amitriptyline hydrochloride/ Perphenazine,25.000mg + 2.000mg,Tablet,Oral,4030100,4030100
3180541000033117,321930007,Amitriptyline 10mg / Perphenazine 2mg tablets,Amitriptyline 10mg / Perphenazine 2mg tablets,Amitriptyline hydrochloride/ Perphenazine,10.000mg + 2.000mg,Tablet,Oral,4030100,4030100
1473441000033111,479411000001101,Triptafen-M tablets (Mercury Pharma Group Ltd),Triptafen-M tablets,Amitriptyline hydrochloride/ Perphenazine,10.000mg + 2.000mg,Tablet,Oral,,
1473341000033117,514611000001101,Triptafen tablets (Advanz Pharma),Triptafen tablets,Amitriptyline hydrochloride/ Perphenazine,25.000mg + 2.000mg,Tablet,Oral,4030100,4030100
819841000033110,4533611000001104,Lentizol 50mg modified-release capsules (Pfizer Ltd),Lentizol 50mg modified-release capsules,Amitriptyline hydrochloride,50.000mg,Modified-release capsule,Oral,,
