ProdCodeId,DMDCode,TermfromEMIS,ProductName,drugsubstancename,substancestrength,formulation,routeofadministration,bnfcode,DrugIssues
466741000033115,321198003,Diazepam 10mg tablets,Diazepam 10mg tablets,Diazepam,10.000mg,Tablet,Oral,15010401,2000000
466841000033113,321196004,Diazepam 2mg tablets,Diazepam 2mg tablets,Diazepam,2.000mg,Tablet,Oral,15010401,10000000
466941000033117,321197008,Diazepam 5mg tablets,Diazepam 5mg tablets,Diazepam,5.000mg,Tablet,Oral,15010401,10000000
578341000033118,321117007,Flurazepam 15mg capsules,Flurazepam 15mg capsules,Flurazepam hydrochloride,15.000mg,Capsule,Oral,4010100,10000
578441000033112,321118002,Flurazepam 30mg capsules,Flurazepam 30mg capsules,Flurazepam hydrochloride,30.000mg,Capsule,Oral,4010100,9000
595341000033118,321112001,Flunitrazepam 1mg tablets,Flunitrazepam 1mg tablets,Flunitrazepam,1.000mg,Tablet,Oral, ,3000
851141000033111,321294008,Lorazepam 1mg tablets,Lorazepam 1mg tablets,Lorazepam,1.000mg,Tablet,Oral,15010401,5000000
851241000033116,321295009,Lorazepam 2.5mg tablets,Lorazepam 2.5mg tablets,Lorazepam,2.500mg,Tablet,Oral,15010401,300000
1025741000033113,321314006,Oxazepam 10mg tablets,Oxazepam 10mg tablets,Oxazepam,10.000mg,Tablet,Oral,4010200,800000
1025841000033115,321315007,Oxazepam 15mg tablets,Oxazepam 15mg tablets,Oxazepam,15.000mg,Tablet,Oral,4010200,400000
1428241000033118,9107211000001109,Tensium 2mg tablets (DDSA Pharmaceuticals Ltd),Tensium 2mg tablets,Diazepam,2.000mg,Tablet,Oral,15010401,8
1728141000033116,321203006,Diazepam 5mg/5ml oral solution,Diazepam 5mg/5ml oral solution,Diazepam,1.000mg/1.000ml,Oral solution,Oral,15010401,3000
2762341000033113,321199006,Diazepam 2mg/5ml oral solution,Diazepam 2mg/5ml oral solution,Diazepam,400.000microgram/1.000ml,Oral solution,Oral,15010401,100000
2762441000033119,13893211000001109,Diazepam 10mg/5ml oral suspension,Diazepam 10mg/5ml oral suspension,Diazepam,2.000mg/1.000ml,Oral suspension,Oral, ,8000
3308041000033119,8659811000001106,Lorazepam 500micrograms/5ml oral suspension,Lorazepam 500micrograms/5ml oral suspension,Lorazepam,100.000microgram/1.000ml,Oral suspension,Oral, ,7000
3345241000033111,13893311000001101,Diazepam 2.5mg/5ml oral suspension,Diazepam 2.5mg/5ml oral suspension,Diazepam,500.000microgram/1.000ml,Oral suspension,Oral, ,7000
3923841000033119,8624511000001105,Lorazepam 1mg/5ml oral suspension,Lorazepam 1mg/5ml oral suspension,Lorazepam,200.000microgram/1.000ml,Oral suspension,Oral, ,5000
3979041000033112,426016003,Diazepam 25mg/5ml oral solution,Diazepam 25mg/5ml oral solution,Diazepam,5.000mg/1.000ml,Oral solution,Oral, ,300
3993641000033114,19677811000001102,Diazepam 2mg/5ml oral suspension,Diazepam 2mg/5ml oral suspension,Diazepam,400.000microgram/1.000ml,Oral suspension,Oral, ,9000
4663341000033118,8659211000001105,Lorazepam 250micrograms/5ml oral suspension,Lorazepam 250micrograms/5ml oral suspension,Lorazepam,50.000microgram/1.000ml,Oral suspension,Oral, ,400
5748641000033110,38894311000001101,Diazepam 2mg/5ml oral solution sugar free,Diazepam 2mg/5ml oral solution sugar free,Diazepam,400.000microgram/1.000ml,Oral solution,Oral, ,60000
5892341000033111,8659611000001107,Lorazepam 500micrograms/5ml oral solution,Lorazepam 500micrograms/5ml oral solution,Lorazepam,100.000microgram/1.000ml,Oral solution,Oral, ,2000
