medcodeid,observations,originalreadcode,cleansedreadcode,term,snomedctconceptid,snomedctdescriptionid
250468012,200000,13C2,13C2.00,Mobile outside with aid,160681005,250468012
250474012,30000,3980,3980.00,Immobile,102491009,250474012
250488011,60000,13CD,13CD.00,Mobility very poor,160692006,250488011
250489015,300000,13CE,13CE.00,Mobility poor,160693001,250489015
311615015,5000,N2331,N233100,Immobility syndrome,203041005,311615015
317082017,20000,R00A,R00A.00,Poor mobility,160693001,250490012
460845011,100000,ZV4L0,ZV4L000,Reduced mobility,8510008,506386018
505366010,40000,13CP,13CP.00,Impaired mobility,82971005,505366010
336481000006119,8000,ZV4L0-1,ZV4L011,[V] Poor mobility,8510008,506386018
785381000006113,30000,13CC,13CC.00,Immobile,102491009,250474012
909161000006110,3000,HNGP002, ,[RFC] Mobility problem,909161000006106,909161000006110
926191000006118,1,PCNQIM1, ,Immobile,926191000006102,926191000006118
955281000006117,1,TRIQQM11, ,M1 - restricted/very restricted mobility,955281000006101,955281000006117
982491000006119,5000,EMISCRE18, ,Reduced mobility,982491000006103,982491000006119
1776821000006118,400,EMISNQRE240, ,Reason for referral: Mobility Problems,1776821000006102,1776821000006118
1817081000006119,2000,R00C,R00C.00,[D]Immobility,102491009,250474012
1817441000006119,2000,ZV4L3,ZV4L300,[V]Need for assistance due to reduced mobility,8510008,506386018
1850141000006115,60,EMISNQRE328, ,Response to treatment - mobility not improved,1850141000006104,1850141000006115
1877251000006112,1,JHCSI12, ,Significant mobility issues,1877251000006108,1877251000006112
2635911000006119,30,^ESCTLI263591, ,Limited mobility,8510008,506385019
2665031000006117,2,^ESCTMU266503, ,Musculoskeletal hypomobility,10379002,18065015
4720551000006115,700,^ESCTMO472055, ,Mobility aid,183135000,2615948012
4720561000006118,800,^ESCTMO472056, ,Mobility aids,183135000,283086010
4720571000006113,30,^ESCTEQ472057, ,Equipment to aid mobility,183135000,283087018
5190971000006110,200,^ESCTPR519097, ,Provision of mobility device,243751002,364556010
