medcodeid,term,originalreadcode,cleansedreadcode,snomedctconceptid,snomedctdescriptionid,release,emiscodecategoryid
86706011,Malunion of fracture,N3380,N338000,425852005,2673459011,,32
990251000006114,Fracture malunion - shoulder,N3380-99,N338099,52090005,990251000006114,,32
990261000006111,Fracture malunion - hand,N3380-98,N338098,52090005,990261000006111,,32
164801000006119,Rotational mal-union of fracture,N3385,N338500,203503005,312232014,,32
612291000006116,Delayed union of fracture,SC0z-1,SC0z.11,134194006,215937019,,32
4821351000006116,Rotational malunion of fracture,^ESCTRO482135,,203503005,312232014,,32
12487981000006110,Malunion and nonunion of fracture,^ESCT1248798,,203497002,312224018,,31
892511000006115,Fracture malunion - lower leg,N338-92,N338.92,203497002,892511000006115,,32
892531000006114,Fracture malunion - hand,N338-94,N338.94,203497002,892531000006114,,32
892551000006119,Fracture malunion - upper arm,N338-96,N338.96,203497002,892551000006119,,32
3225791000006116,Repair of nonunion of tibia,^ESCTRE322579,,44988003,75043019,,31
5722151000006119,Fracture malunion - shoulder,^ESCTFR572215,,287073003,426585017,,31
3738081000006115,"Fracture, delayed union, spiral",^ESCTFR373808,,76110008,126412011,,31
2505741000006119,Repair of malunion of tibia,^ESCTRE250574,,445004,1822011,,31
5722221000006118,Fracture malunion - ankle/foot,^ESCTFR572222,,287078007,426590019,,31
3833021000006110,Delayed union of impacted fracture,^ESCTDE383302,,81980007,2816658017,,31
7129911000006117,Nonunion of clavicle fracture,^ESCTNO712991,,431011000,2766015015,,31
2500741000006112,Repair of nonunion of metatarsal with bone graft,^ESCTRE250074,,146005,1292013,,31
3083841000006117,"Fracture, delayed union, articular",^ESCTFR308384,,36223003,60447011,,31
3578581000006111,Repair of nonunion of tarsal bones,^ESCTRE357858,,66326004,110145010,,31
7580951000006113,Non-union of joint of foot with infection,^ESCTNO758095,,703736001,3008920014,,31
7259171000006114,Delayed union of greenstick fracture,^ESCTDE725917,,442070008,2819127016,,31
3128801000006112,"Fracture, delayed union, segmental",^ESCTFR312880,,39063008,65533011,,31
7083681000006117,Malunion of fracture of hip,^ESCTMA708368,,428112005,2692837017,,31
2538441000006111,Repair of malunion of metatarsal bones,^ESCTRE253844,,2474001,5230013,,31
3007641000006112,Fibrous nonunion,^ESCTFI300764,,31511007,1227523012,,31
3083831000006110,"Fracture, delayed union, intra-articular",^ESCTFR308383,,36223003,60446019,,31
3800101000006117,Repair of malunion of tarsal bones,^ESCTRE380010,,79944004,132640015,,31
5730851000006113,Fracture malunion - upper arm,^ESCTFR573085,,288244006,427848010,,31
2734641000006116,"Fracture, delayed union, oblique",^ESCTFR273464,,14797003,25138014,,31
3033951000006118,"Fracture, delayed union, linear",^ESCTFR303395,,33178007,55369016,,31
2950841000006119,Delayed union of fracture,^ESCTDE295084,,28087009,2817502012,,31
7083671000006115,Malunion of fracture of proximal femur,^ESCTMA708367,,428112005,2695872010,,31
5722191000006113,Fracture malunion - pelvis/thigh,^ESCTFR572219,,287076006,426588015,,31
498181000006114,Atrophic nonunion of fracture,N3383,N338300,203500008,312229011,,32
3913801000006113,Refracture of bone for faulty union,^ESCTRE391380,,86962004,144225014,,31
4216731000006117,Anesthesia for repair of malunion or nonunion of humerus,^ESCTAN421673,,113007007,184720018,,31
3032491000006113,"Fracture, nonunion",^ESCTFR303249,,33080003,55213010,,31
5722211000006114,Fracture malunion - ankle and/or foot,^ESCTFR572221,,287078007,1489977017,,31
3033941000006115,"Fracture, delayed union, longitudinal",^ESCTFR303394,,33178007,55368012,,31
2950851000006117,"Fracture, delayed union",^ESCTFR295085,,28087009,47027017,,31
892501000006118,Fracture malunion - ankle/foot,N338-91,N338.91,203497002,892501000006118,,32
892521000006111,Fracture malunion-pelvis/thigh,N338-93,N338.93,203497002,892521000006111,,32
892541000006116,Fracture malunion - fore arm,N338-95,N338.95,203497002,892541000006116,,32
892571000006112,Multiple fracture malunion,N338-98,N338.98,203497002,892571000006112,,32
444977014,Nonunion of fracture,N3381-1,N338111,302941001,444977014,,32
3684991000006112,Repair of nonunion of tibia with sliding graft,^ESCTRE368499,,72865008,121025012,,31
312234010,Fracture malunion,N338z,N338z00,425852005,2673460018,,32
3833041000006115,"Fracture, delayed union, compressed",^ESCTFR383304,,81980007,135984014,,31
5652011000006112,Shortened malunion of bone,^ESCTSH565201,,281469001,419479012,,31
3137311000006116,Repair of malunion of tibia with sliding graft,^ESCTRE313731,,39612009,66434010,,31
4821341000006118,Angular malunion of fracture,^ESCTAN482134,,203502000,312231019,,32
3344381000006112,Malunion of fracture,^ESCTMA334438,,52090005,86706011,,31
2871421000006112,Delayed union of incomplete fracture,^ESCTDE287142,,23286007,2817068019,,31
2734631000006114,Delayed union of oblique fracture,^ESCTDE273463,,14797003,2817494015,,31
7578961000006117,Non-union of joint of foot without infection,^ESCTNO757896,,703624003,3009559017,,31
5652001000006114,Shortened malunion of fracture,^ESCTSH565200,,281469001,2670102015,,31
5722181000006110,Fracture malunion - pelvis and/or thigh,^ESCTFR572218,,287076006,1489976014,,31
7578951000006119,Non-union of ankle joint without infection,^ESCTNO757895,,703623009,3009375015,,31
5722171000006112,Fracture malunion - hand,^ESCTFR572217,,287075005,426587013,,31
3673661000006115,"Fracture, delayed union, transverse",^ESCTFR367366,,72142000,119883018,,31
3269361000006115,Delayed union of comminuted fracture,^ESCTDE326936,,47572004,2816338014,,31
3464451000006112,Repair of malunion of tibia with iliac autograft,^ESCTRE346445,,59389009,98637010,,31
3128791000006111,Delayed union of segmental fracture,^ESCTDE312879,,39063008,2817143018,,31
3420701000006118,Repair of nonunion of scaphoid bone with radial styloidectomy,^ESCTRE342070,,56678009,94254015,,31
3738071000006118,Delayed union of spiral fracture,^ESCTDE373807,,76110008,2816341017,,31
892561000006117,Fracture malunion - shoulder,N338-97,N338.97,203497002,892561000006117,,32
4686461000006119,Excision of cross-union of bone,^ESCTEX468646,,178901006,276818018,,32
7222001000006110,Repair of nonunion of carpal bone,^ESCTRE722200,,439363002,2791057015,,31
2871431000006110,"Fracture, delayed union, incomplete",^ESCTFR287143,,23286007,39082015,,31
990271000006116,Fracture malunion - lower leg,N3380-97,N338097,52090005,990271000006116,,32
990851000006113,Fracture malunion - NOS,N3380-96,N338096,52090005,990851000006113,,32
612281000006119,Delayed union of fracture,N3386,N338600,134194006,215937019,,32
7083691000006119,Malunion of hip fracture,^ESCTMA708369,,428112005,2693943013,,31
2696061000006115,Repair of nonunion of humerus with iliac autograft,^ESCTRE269606,,12314005,21199013,,31
3004311000006114,"Fracture, delayed union, stellate",^ESCTFR300431,,31279000,52314013,,31
3083821000006112,Delayed union of intraarticular fracture,^ESCTDE308382,,36223003,2820734015,,31
5722121000006111,Multiple fracture malunion,^ESCTMU572212,,287071001,426582019,,31
3968121000006117,"Repair of malunion, of femur, distal to head and neck",^ESCTRE396812,,90312005,149698013,,31
3033931000006113,Delayed union of longitudinal fracture,^ESCTDE303393,,33178007,2816731017,,31
5722161000006117,Fracture malunion - forearm,^ESCTFR572216,,287074009,426586016,,31
7129901000006115,Nonunion of fracture of clavicle,^ESCTNO712990,,431011000,2766016019,,31
3833031000006113,"Fracture, delayed union, impacted",^ESCTFR383303,,81980007,135983015,,31
7563251000006114,Delayed union of joint of foot,^ESCTDE756325,,702578001,3004436011,,31
892581000006110,Malunion/nonunion of fracture,N338-99,N338.99,203497002,892581000006110,,32
312224018,Fracture malunion,N338,N338.00,425852005,2673460018,,32
726781000006111,Hypertrophic nonunion of fracture,N3382,N338200,203499004,312228015,,32
3004301000006111,Delayed union of stellate fracture,^ESCTDE300430,,31279000,2817070011,,31
5722201000006111,Fracture malunion - lower leg,^ESCTFR572220,,287077002,426589011,,31
3220551000006110,Repair of malunion of metatarsal with bone graft,^ESCTRE322055,,44683005,74538014,,31
4216721000006115,Anaesthesia for repair of malunion or nonunion of humerus,^ESCTAN421672,,113007007,379392013,,31
7580821000006113,Non-union of ankle joint with infection,^ESCTNO758082,,703731006,3009690014,,31
3673651000006117,Delayed union of transverse fracture,^ESCTDE367365,,72142000,2816287014,,31
3261701000006116,Repair of nonunion of metatarsal bones,^ESCTRE326170,,47105008,78519011,,31
3269371000006110,"Fracture, delayed union, comminuted",^ESCTFR326937,,47572004,79296012,,31
3887751000006116,Repair of nonunion of tibia with iliac autograft,^ESCTRE388775,,85360008,141493010,,31
892591000006113,Fracture malunion - NOS,N338z-99,N338z99,639801000000101,892591000006113,,32
12726521000006115,Fracture malunion or nonunion NOS,^ESCT1272652,,639801000000101,1409071000000114,,31
483211000006115,Angular mal-union of fracture,N3384,N338400,203502000,312231019,,32
3427451000006111,Repair of malunion of humerus with iliac autograft,^ESCTRE342745,,57069006,94915011,,31
7563271000006116,Delayed union of ankle joint,^ESCTDE756327,,702580007,3009828012,,31
