medcodeid,term
88301000006110,"Trisomy 18, mitotic nondisjunction"
3345481000006119,"Niemann-Pick disease, type A"
7846631000006116,Lipomucopolysaccharidosis
6686801000006114,Port-wine stain in Rubinstein-Taybi syndrome
3650471000006118,MPSII - Mucopolysaccharidosis type II
2594671000006116,Norrbottnian Gaucher disease
378496017,Edward's syndrome NOS
5116671000006119,Zellweger's-like syndrome
12016661000006115,Distal trisomy 13q
8438641000006114,RLI (Reading and Language Intervention) for Children with Down Syndrome
12016821000006113,Mosaic trisomy 10 syndrome
3708621000006115,Complete trisomy 9 syndrome
3852221000006110,22q11 microdeletion with velocardiofacial syndrome phenotype
88291000006114,"Trisomy 18, meiotic nondisjunction"
424971000006111,Rett syndrome
5116681000006116,Zellweger like syndrome
7825861000006119,"Epiphyseal dysplasia, microcephalus, nystagmus syndrome"
3878001000006111,Restrictive cardiomyopathy secondary to mucopolysaccharidosis
3811881000006113,AIC - Aicardi syndrome
315395017,Trisomy 12
3937811000006114,Zellweger syndrome
293603019,Mucopolysaccharidosis NOS
7858951000006116,Myeloid leukemia co-occurrent with Down syndrome
754291000006111,Kinky hair syndrome
7762911000006111,Goldberg Shprintzen megacolon syndrome
88351000006114,"Trisomy 21, meiotic nondisjunction"
3603781000006111,"Niemann-Pick disease, type C, subacute form"
7781091000006114,Shprintzen-Goldberg syndrome
3729511000006110,MPSI - Mucopolysaccharidosis type I
5339951000006113,Partial trisomy 18 in Edward syndrome
3528203016,Trisomy 21
3510511000006112,"Gaucher's disease, type I"
4611111000006119,Trisomy 21 in amniotic fetal cell
893501000006110,Fragile X syndrome
12019111000006118,Trisomy 22 mosaicism
76004014,Rubinstein-Taybi syndrome
345138018,Aicardi Goutieres syndrome
6348371000006113,Translocation Down syndrome
97154016,Niemann-Pick disease
7858931000006111,Transient abnormal myelopoiesis and Down syndrome
315392019,Trisomy 9
293602012,Other specified mucopolysaccharidosis
3461251000006113,Menkes disease
3670581000006118,Childhood disintegrative disorder
3585401000006119,Niemann-Pick disease type C
1009631000006119,Cause of learning disabilities: Prader-Willi syndrome
3207351000006113,Smith-Lemli-Opitz syndrome
3670601000006111,Dementia infantilis
2589971000006113,Mucopolysaccharidosis type II mild form
616061000006115,DiGeorge syndrome
2740611000006112,CLS - Coffin-Lowry syndrome
3169981000006111,MPS III-A - Mucopolysaccharidosis III-A
696711000006119,Mucopolysaccharidosis type IV
4831001000006119,Trisomy 18 - meiotic nondisjunction
5116391000006114,Mucopolysaccharidosis IV-B
3562141000006117,Mucopolysaccharidosis type I-H
400778016,Congenital megalocornea
4759801000006113,Gaucher splenomegaly
8039151000006117,Trisomy 13 in fetus
2800311000006111,Niemann-Pick disease type D
7953531000006117,"Microcephalus, digital anomaly, intellectual disability syndrome"
1780502018,Smith-Magenis syndrome
222121000000113,Trisomy 21
12016891000006110,Trisomy 12 mosaicism
12019251000006113,Trisomy 7 mosaicism
293816016,[X]Other mucopolysaccharidoses
7958391000006116,"Microcephalus, glomerulonephritis, marfanoid habitus syndrome"
2615391000006119,"Mucopolysaccharidosis, MPS-IV-A"
12016831000006111,Mosaic trisomy 10
3658841000006114,"Tay-Sachs disease, variant AB"
3723351000006117,MPS III-C - Mucopolysaccharidosis III-C
3987531000006110,Somniosus microcephalus
1781041000006119,Fragile X associated tremor ataxia syndrome
2615481000006114,MPS IV-A-Mucopolysaccharidosis IV-A
1798621000000119,Chromosome 4q deletion syndrome
3461241000006111,Menkes kinky-hair syndrome
3345491000006116,"Niemann-Pick disease, acute neuropathic form"
3689381000006114,"Mucopolysaccharidosis, MPS-I-S"
1221474011,Deletion of short arm of chromosome 4
3914551000006112,Dilated cardiomyopathy secondary to mucopolysaccharidosis
7858961000006119,Myeloid leukemia and Down syndrome
600251000000118,Jacobsen syndrome
4829211000006113,Apert syndrome
127639017,Happy puppet syndrome
378494019,Partial trisomy 21 in Down's syndrome
7349161000006111,FXTAS - Fragile X associated tremor ataxia syndrome
12617221000006115,"Intellectual disability germline WGS (whole genome sequencing) using microarray, fragile X and sequencing targeting intellectual disability panel"
3474231000006111,Mucopolysaccharidosis III-B
40055016,Sandhoff disease
7858921000006113,Transient abnormal myelopoiesis co-occurrent with Down syndrome
2695051000006110,Infantile Gaucher disease
12027501000006113,Distal chromosome 18q deletion syndrome
315350012,"Trisomy 13, meiotic nondisjunction"
