medcodeid,term,originalreadcode,cleansedreadcode,snomedctconceptid,snomedctdescriptionid,release,emiscodecategoryid
83729012,Dyslexia training,8E23,8E23.00,50260001,83729012,,32
255260017,O/E - dyslexia,2B55,2B55.00,163933004,255260017,,27
376901000006118,[X]Developmental dyslexia,Eu810-2,Eu81012,192136006,295627019,,32
3470721000006112,"Dyslexia, learning disturbance",^ESCTDY347072,,59770006,2920630019,,32
4572021000006118,On examination - dyslexia,^ESCTON457202,,163933004,2667119015,,27
7739291000006112,Assessment using Bangor Dyslexia Test,^ESCTAS773929,,715890005,3304053010,,31
4127871000006115,Dyslexia AND/OR speech dysfunction,^ESCTDY412787,,106170009,170597012,,31
5547821000006115,Bangor dyslexia test,^ESCTBA554782,,273300002,408606010,,31
317310010,Dyslexia,R0463,R046300,59770006,99285010,,32
295629016,Developmental dyslexia,E2F02,E2F0200,192138007,295629016,,32
4997921000006115,Surface dyslexia,^ESCTSU499792,,229682005,344289016,,31
1484828010,FH: Dyslexia,129A,129A.00,390794009,1484828010,,7
4127861000006110,"Aphasia, agnosia, dyslexia AND/OR apraxia",^ESCTAP412786,,106169008,170596015,,31
7768571000006112,Bangor Dyslexia Test score,^ESCTBA776857,,718166007,3311351011,,31
6514701000006115,Family history: Dyslexia,^ESCTFA651470,,390794009,2621448011,,7
4997901000006113,Deep dyslexia,^ESCTDE499790,,229680002,344287019,,31
4997911000006111,Phonological dyslexia,^ESCTPH499791,,229681003,344288012,,31
295631013,Specific reading disorder NOS,E2F0z,E2F0z00,192136006,295627019,,32
742691000006117,Lip reading training,8E31,8E31.00,183281008,283306017,,32
3470711000006116,Specific reading retardation,^ESCTSP347071,,59770006,498539017,,32
12117481000006118,Assessment using RDLS (Reynell Developmental Language Scales) III: University of Reading Edition,^ESCT1211748,,1099251000000103,2752031000000119,,31
7805121000006114,RCBA-2 - Reading Comprehension Battery for Aphasia Second Edition,^ESCTRC780512,,720547004,3321180013,,31
8363341000006114,GSRT (Gray Silent Reading Tests) score,^ESCTGS836334,,981891000000101,2497211000000118,,31
5555201000006115,RCBA - Reading comprehension for aphasia,^ESCTRC555520,,273736002,409332018,,31
5549461000006119,Daniels and Diack reading tests,^ESCTDA554946,,273391006,1775589018,,31
8363211000006118,Assessment using Reading Comprehension Battery for Aphasia,^ESCTAS836321,,981591000000103,2496411000000116,,31
12117491000006115,RDLS (Reynell Developmental Language Scales) III: University of Reading Edition Comprehension Scale score,^ESCT1211749,,1099261000000100,2752051000000114,,31
8365781000006115,Salford Sentence Reading Test score,^ESCTSA836578,,985821000000102,2506731000000111,,31
7746221000006118,Holborn Reading Scale,^ESCTHO774622,,716368005,3305709019,,31
5557511000006111,Vernon graded word reading test,^ESCTVE555751,,273892008,409573018,,31
7431721000006110,Assistive talking reading material,^ESCTAS743172,,465780002,2945827017,,31
7828811000006113,Schonell graded reading test,^ESCTSC782881,,722225007,3331249018,,31
7782451000006116,Assessment using Schonell Reading Test,^ESCTAS778245,,719153003,3315183015,,31
8363221000006114,RCBA (Reading Comprehension Battery for Aphasia) score,^ESCTRC836322,,981601000000109,2496451000000117,,31
5955391000006112,Referral to lip/speech-reading teacher,^ESCTRE595539,,306369004,449372012,,31
8363201000006116,Assessment using RCBA (Reading Comprehension Battery for Aphasia),^ESCTAS836320,,981591000000103,2496421000000110,,31
2879271000006110,Reading problem,^ESCTRE287927,,23766009,39902015,,31
7782461000006119,Holborn Reading Scale score,^ESCTHO778246,,719154009,3315185010,,31
5951371000006114,Referral from lip/speech-reading teacher,^ESCTRE595137,,306094005,448970017,,31
6584421000006117,Reading add,^ESCTRE658442,,397282003,1785765019,,31
8363051000006114,Assessment using Neale Analysis of Reading Ability - Revised Edition,^ESCTAS836305,,981361000000102,2495751000000115,,31
7781921000006111,Assessment using Reading Comprehension Battery for Aphasia Second Edition,^ESCTAS778192,,719119002,3315076012,,31
7771671000006110,Schonell Reading Test score,^ESCTSC777167,,718389008,3312041019,,31
7805131000006112,Reading Comprehension Battery for Aphasia Second Edition,^ESCTRE780513,,720547004,3320889015,,31
7782431000006111,Assessment using Gray Silent Reading Test,^ESCTAS778243,,719151001,3315178011,,31
5553411000006117,National adult reading test,^ESCTNA555341,,273640001,409179012,,31
7755861000006115,GSRT - Gray Silent Reading Test,^ESCTGS775586,,717040009,3308326014,,31
5548521000006119,BAS - British ability scales reading test,^ESCTBA554852,,273337008,408683016,,31
7424361000006118,"Assistive reading device, video",^ESCTAS742436,,464923002,2941171012,,31
7539981000006119,Braille reading material,^ESCTBR753998,,700901008,2991661013,,31
8363231000006112,Reading Comprehension Battery for Aphasia score,^ESCTRE836323,,981601000000109,2496441000000115,,31
6010261000006118,Speeded reading of word lists,^ESCTSP601026,,311855004,1775715018,,31
7771661000006115,Assessment using Standard Reading Tests,^ESCTAS777166,,718388000,3312036010,,31
4421521000006111,Reading printed material,^ESCTRE442152,,129017009,207717016,,31
8084851000006117,"Reynell developmental language scales III, University of Reading edition",^ESCTRE808485,,279041000000108,479121000000117,,31
8363041000006112,Assessment using NARA (Neale Analysis of Reading Ability) - Revised Edition,^ESCTAS836304,,981361000000102,2495761000000117,,31
5553431000006111,Neale analysis of reading ability,^ESCTNE555343,,273641002,409180010,,31
3356491000006114,Developmental reading disorder,^ESCTDE335649,,52824009,87896017,,31
5953171000006113,Referral to speech-reading training service,^ESCTRE595317,,306221004,449162015,,31
8363071000006116,NARA (Neale Analysis of Reading Ability) - Revised Edition score,^ESCTNA836307,,981381000000106,2495811000000112,,31
7782441000006118,Assessment using Holborn Reading Scale,^ESCTAS778244,,719152008,3315181018,,31
5318231000006114,Speech-reading test,^ESCTSP531823,,252593004,376221014,,31
5552531000006115,MacMillan reading test,^ESCTMA555253,,273583003,409081012,,31
8261321000006114,Oral reading observation,^ESCTOR826132,,811891000000106,2117711000000110,,31
5553421000006113,NART - National adult reading test,^ESCTNA555342,,273640001,409178016,,31
7781911000006115,Assessment using RCBA-2 (Reading Comprehension Battery for Aphasia Second Edition),^ESCTAS778191,,719119002,3315077015,,31
8424351000006113,Phonology with Reading programme,^ESCTPH842435,,1046861000000104,2637701000000118,,31
5597961000006114,FADAST - Four alternative disability and speech-reading test,^ESCTFA559796,,277351007,413839017,,31
5547591000006116,Assessing reading difficulties,^ESCTAS554759,,273285006,408584019,,31
7805181000006113,RCBA-2 (Reading Comprehension Battery for Aphasia Second Edition) score,^ESCTRC780518,,720552009,3321185015,,31
7782421000006113,Assessment using GSRT (Gray Silent Reading Test),^ESCTAS778242,,719151001,3315180017,,31
8363351000006111,Gray Silent Reading Tests score,^ESCTGR836335,,981891000000101,2497201000000115,,31
8363011000006113,NARA (Neale Analysis of Reading Ability) - Revised Edition,^ESCTNA836301,,981341000000103,2495711000000119,,31
5318241000006116,Lip-reading test,^ESCTLI531824,,252593004,376222019,,31
8363331000006116,Gray Silent Reading Tests,^ESCTGR836333,,981871000000100,2497141000000110,,31
